id;message_content;read_date;like_count;is_hidden;created_date;last_modified_date;created_by;last_modified_by;is_deleted;replied_story_id;sender_user_id
1;../fake-data/blob/hipster.txt;2024-02-21T12:49:06;31526;false;2024-02-21T18:14:48;2024-02-21T01:03:16;except;physical meh;true;29754;429
2;../fake-data/blob/hipster.txt;2024-02-21T04:12:37;24172;false;2024-02-21T17:32:27;2024-02-21T22:12:53;painfully aw;after velvety choose;true;17418;21305
3;../fake-data/blob/hipster.txt;2024-02-21T07:52:51;9445;true;2024-02-21T02:57:39;2024-02-21T03:44:58;snitch;naturalize;false;24988;9725
4;../fake-data/blob/hipster.txt;2024-02-21T09:30:55;14552;false;2024-02-21T05:57:43;2024-02-21T22:58:43;than apud;browser swiftly;false;32639;10992
5;../fake-data/blob/hipster.txt;2024-02-21T05:47:42;5406;false;2024-02-21T18:30:34;2024-02-21T23:46:34;cruelly;where;true;25012;2421
6;../fake-data/blob/hipster.txt;2024-02-21T00:25:34;13959;true;2024-02-21T07:00:23;2024-02-21T20:50:58;evil hum;village;true;12069;3334
7;../fake-data/blob/hipster.txt;2024-02-21T08:59:38;20299;true;2024-02-21T15:27:57;2024-02-21T15:54:16;exclude;where ouch;false;17334;19416
8;../fake-data/blob/hipster.txt;2024-02-21T16:39:30;29979;false;2024-02-21T10:51:47;2024-02-21T08:33:41;geez powerfully;clean overwinter uh-huh;false;23881;31351
9;../fake-data/blob/hipster.txt;2024-02-21T08:03:41;24472;false;2024-02-21T16:26:27;2024-02-21T22:17:01;upbeat;cradle romance that;false;22511;32421
10;../fake-data/blob/hipster.txt;2024-02-21T13:49:09;23614;false;2024-02-21T04:03:48;2024-02-21T22:06:07;viciously acclimatise;gah;false;2571;4346
