id;last_modified_date;dark_mode;language;content_filter;message_blur_intensity;activity_status_visibility;two_factor_authentication;sessions_active_count;email_notifications;important_subscription_notifications;new_messages;post_replies;post_likes;new_followers;sms_new_stream;toast_new_comment;toast_new_likes;toast_new_stream;site_new_comment;site_new_likes;site_discounts_from_followed_users;site_new_stream;site_upcoming_stream_reminders;created_date;created_by;last_modified_by;is_deleted
1;2024-03-02T03:42:02;false;DE;false;8505;true;false;26233;false;false;true;true;true;false;true;true;true;false;false;false;true;true;true;2024-03-02T08:39:02;fooey meanwhile for;woot;false
2;2024-03-02T11:38:47;true;PT_BR;true;32650;true;false;26443;false;true;true;false;false;true;false;false;false;false;true;false;false;false;true;2024-03-01T22:14:28;transfer;lovingly;false
3;2024-03-01T19:27:18;true;PT_BR;false;4707;false;false;28153;true;true;false;false;false;false;false;true;false;true;true;false;true;false;false;2024-03-01T23:32:38;beyond so;nor;false
4;2024-03-01T20:17:37;false;ES;true;24833;false;false;14122;true;false;true;true;true;false;false;false;false;true;false;true;false;true;true;2024-03-02T12:12:30;invalid;rarely;true
5;2024-03-02T03:10:46;true;EN;true;6791;true;true;28446;true;true;false;false;true;false;false;true;true;false;false;true;false;true;false;2024-03-01T18:09:45;cleverly;strict;false
6;2024-03-02T01:37:12;false;FR;false;2283;false;false;21549;true;true;true;true;false;false;true;true;false;false;false;false;true;false;true;2024-03-02T01:22:04;sheep suspiciously;quartz;false
7;2024-03-01T18:58:51;true;ES;false;21236;true;true;22111;false;false;true;true;false;false;true;false;false;true;false;true;false;false;true;2024-03-02T12:04:02;ick ejector because;pish besides handmade;false
8;2024-03-02T13:11:11;true;RU;true;23571;true;false;713;false;false;false;true;false;true;true;true;true;true;false;false;true;true;false;2024-03-02T05:35:55;for cluster;unhappy gallery illiteracy;true
9;2024-03-01T18:58:04;true;EN;true;22281;false;true;28262;true;false;false;false;true;true;true;true;true;false;false;true;true;false;true;2024-03-02T10:24:39;yesterday yahoo like;cute frizzy fortunately;true
10;2024-03-02T16:25:48;true;FR;false;17826;false;true;3530;true;false;true;true;false;true;true;false;true;false;true;false;true;true;true;2024-03-02T07:47:45;vineyard;compact;true
